30.06.2020 - 00:24:40 | Выбран несуществующий метод!
30.06.2020 - 00:24:51 | Выбран несуществующий метод!
30.06.2020 - 00:25:23 | Выбран несуществующий метод!
05.07.2020 - 15:09:34 | 	
05.07.2020 - 15:09:34 | Входной файл: data/merged-2017-11-27-10-02_ncps.csv
05.07.2020 - 15:09:34 | Используется метод CoLoRaDe.
05.07.2020 - 15:09:34 | H=[0, 0.500571960453978, 0.5005055015873039, 0.5005355759009983, 0.5004503464833094, 0.5004885476694598, 0.5005524473760896, 0.5005897842088981, 0.5004876187010731, 0.5004834182874415, 0.5004388861940637, 0.5004584678382257, 0.5004772297932889, 0.5004432022326766, 0.5005975080293145, 0.5005777895136494, 0.5005393619170762, 0.500442223224833, 0.5005393619170762, 0.5006352746353162, 0.5006618736053252, 0.5006134777340402, 0.500555149994677, 0.5007096364843853, 0.5006267529180363, 0.5004647895687485, 0.5004529463472137, 0.5005913150185985, 0.500555149994677, 0.508265185850013, 0.5384226615592319, 0.5967806318396582, 0.6814625836495097, 0.7180221321351838, 0.7180221321351838, 0.7180221321351838, 0.7180221321351838, 0.7180221321351838, 0.7180221321351838, 0.7180221321351838, 0.7233125959955401, 0.7233125959955401, 0.7233125959955401, 0.5086353367141483, 0.5379837299392624, 0.5925815853116901, 0.6453757064113932, 0.6453757064113932, 0.6453757064113932, 0.6453757064113932, 0.7075006547516854, 0.7299043564602594, 0.7299043564602594, 0.7299043564602594, 0.7299043564602594, 0.7299043564602594, 0.7299043564602594, 0.7299043564602594, 0.7299043564602594, 0.7299043564602594, 0.7299043564602594, 0.7299043564602594, 0.5089222658019541, 0.5386966314893064, 0.593771439510737, 0.6484929173631447, 0.6484929173631447, 0.6484929173631447, 0.6484929173631447, 0.7092774664008807, 0.7316748946309437, 0.7316748946309437, 0.7316748946309437, 0.7316748946309437, 0.7316748946309437, 0.7316748946309437, 0.7316748946309437, 0.7316748946309437, 0.7316748946309437, 0.7316748946309437, 0.7316748946309437, 0.5077734524563811, 0.5357868678566278, 0.5885316678462618, 0.6312092994146521, 0.6312092994146521, 0.6312092994146521, 0.6312092994146521, 0.6996574035047374, 0.7222728188875103, 0.7222728188875103, 0.7222728188875103, 0.7222728188875103, 0.7222728188875103, 0.7222728188875103, 0.7222728188875103, 0.7222728188875103, 0.7222728188875103, 0.7222728188875103, 0.7222728188875103, 0.5078776869760167, 0.5360572636178745, 0.589098038664946, 0.6338687776607759, 0.6338687776607759, 0.6338687776607759, 0.6338687776607759, 0.7011012020538593, 0.7236554673996143, 0.7236554673996143, 0.7236554673996143, 0.7236554673996143, 0.7236554673996143, 0.7236554673996143, 0.7236554673996143, 0.7236554673996143, 0.7236554673996143, 0.7236554673996143, 0.7236554673996143, 0.509195623321166, 0.5393679349206414, 0.5948646898841107, 0.651171076211655, 0.651171076211655, 0.651171076211655, 0.651171076211655, 0.7108189151781064, 0.7332236389349422, 0.7332236389349422, 0.7332236389349422, 0.7332236389349422, 0.7332236389349422, 0.7332236389349422, 0.7332236389349422, 0.7332236389349422, 0.7332236389349422, 0.7332236389349422, 0.7332236389349422, 0.5098083196182585, 0.5408464112202287, 0.5972012515824912, 0.6564686162168597, 0.6564686162168597, 0.6564686162168597, 0.6564686162168597, 0.7139088417213043, 0.736364238010496, 0.736364238010496, 0.736364238010496, 0.736364238010496, 0.736364238010496, 0.736364238010496, 0.736364238010496, 0.736364238010496, 0.736364238010496, 0.736364238010496, 0.736364238010496, 0.5086353367141483, 0.5379837299392624, 0.5925815853116901, 0.6453757064113932, 0.6453757064113932, 0.6453757064113932, 0.6453757064113932, 0.7075006547516854, 0.7299043564602594, 0.7299043564602594, 0.7299043564602594, 0.7299043564602594, 0.7299043564602594, 0.7299043564602594, 0.7299043564602594, 0.7299043564602594, 0.7299043564602594, 0.7299043564602594, 0.7299043564602594, 0.5090940834834788, 0.539119450559401, 0.594462732185456, 0.6502040940051576, 0.6502040940051576, 0.6502040940051576, 0.6502040940051576, 0.7102607626559913, 0.7326614711339907, 0.7326614711339907, 0.7326614711339907, 0.7326614711339907, 0.7326614711339907, 0.7326614711339907, 0.7326614711339907, 0.7326614711339907, 0.7326614711339907, 0.7326614711339907, 0.7326614711339907, 0.5094595554078529, 0.5400091277655445, 0.595888820116331, 0.6535548184134518, 0.6535548184134518, 0.6535548184134518, 0.6535548184134518, 0.7122025548916605, 0.7346239917215681, 0.7346239917215681, 0.7346239917215681, 0.7346239917215681, 0.7346239917215681, 0.7346239917215681, 0.7346239917215681, 0.7346239917215681, 0.7346239917215681, 0.7346239917215681, 0.7346239917215681, 0.5092602801479446, 0.5395256322310219, 0.595118257822906, 0.6517714960769274, 0.6517714960769274, 0.6517714960769274, 0.6517714960769274, 0.7111663922819967, 0.7335744059879823, 0.7335744059879823, 0.7335744059879823, 0.7335744059879823, 0.7335744059879823, 0.7335744059879823, 0.7335744059879823, 0.7335744059879823, 0.7335744059879823, 0.7335744059879823, 0.7335744059879823, 0.508507356051859, 0.537662908361874, 0.5920341539611896, 0.6438506429447098, 0.6438506429447098, 0.6438506429447098, 0.6438506429447098, 0.7066381280511846, 0.7290505012647138, 0.7290505012647138, 0.7290505012647138, 0.7290505012647138, 0.7290505012647138, 0.7290505012647138, 0.7290505012647138, 0.7290505012647138, 0.7290505012647138, 0.7290505012647138, 0.7290505012647138, 0.5076779688716032, 0.5355379645357088, 0.5879343391614843, 0.6276238781622657, 0.6276238781622657, 0.6276238781622657, 0.6276238781622657, 0.6977315693442718, 0.7204438175759257, 0.7204438175759257, 0.7204438175759257, 0.7204438175759257, 0.7204438175759257, 0.7204438175759257, 0.7204438175759257, 0.7204438175759257, 0.7204438175759257, 0.7204438175759257, 0.7204438175759257, 0.508507356051859, 0.537662908361874, 0.5920341539611896, 0.6438506429447098, 0.6438506429447098, 0.6438506429447098, 0.6438506429447098, 0.7066381280511846, 0.7290505012647138, 0.7290505012647138, 0.7290505012647138, 0.7290505012647138, 0.7290505012647138, 0.7290505012647138, 0.7290505012647138, 0.7290505012647138, 0.7290505012647138, 0.7290505012647138, 0.7290505012647138, 0.508815937240901, 0.5384334577991141, 0.5933360335851608, 0.6473799223114325, 0.6473799223114325, 0.6473799223114325, 0.6473799223114325, 0.7086409233662145, 0.7310387986326576, 0.7310387986326576, 0.7310387986326576, 0.7310387986326576, 0.7310387986326576, 0.7310387986326576, 0.7310387986326576, 0.7310387986326576, 0.7310387986326576, 0.7310387986326576, 0.7310387986326576, 0.5089705739311277, 0.5388158137554208, 0.5939672836265154, 0.6489843106240369, 0.6489843106240369, 0.6489843106240369, 0.6489843106240369, 0.7095592601603926, 0.7319571348155065, 0.7319571348155065, 0.7319571348155065, 0.7319571348155065, 0.7319571348155065, 0.7319571348155065, 0.7319571348155065, 0.7319571348155065, 0.7319571348155065, 0.7319571348155065, 0.7319571348155065, 0.5076867311119646, 0.5355608543997314, 0.587996178473887, 0.6280594183561412, 0.6280594183561412, 0.6280594183561412, 0.6280594183561412, 0.6979642516430289, 0.7206638797473828, 0.7206638797473828, 0.7206638797473828, 0.7206638797473828, 0.7206638797473828, 0.7206638797473828, 0.7206638797473828, 0.7206638797473828, 0.7206638797473828, 0.7206638797473828, 0.7206638797473828, 0.507985845233578, 0.5363364110409927, 0.588145678269549, 0.6113979678563642, 0.6113979678563642, 0.6113979678563642, 0.6113979678563642, 0.6893069951410755, 0.712642629980444, 0.712642629980444, 0.712642629980444, 0.712642629980444, 0.712642629980444, 0.712642629980444, 0.712642629980444, 0.712642629980444, 0.712642629980444, 0.712642629980444, 0.712642629980444, 0.5078222050616118, 0.5359135072535071, 0.5876837725334624, 0.6144832721451542, 0.6144832721451542, 0.6144832721451542, 0.6144832721451542, 0.6908727531259197, 0.7140684338972327, 0.7140684338972327, 0.7140684338972327, 0.7140684338972327, 0.7140684338972327, 0.7140684338972327, 0.7140684338972327, 0.7140684338972327, 0.7140684338972327, 0.7140684338972327, 0.7140684338972327, 0.5076480334616327, 0.5354596884157931, 0.5873917160652427, 0.6209104179723288, 0.6209104179723288, 0.6209104179723288, 0.6209104179723288, 0.6941886442663737, 0.7171239338386576, 0.7171239338386576, 0.7171239338386576, 0.7171239338386576, 0.7171239338386576, 0.7171239338386576, 0.7171239338386576, 0.7171239338386576, 0.7171239338386576, 0.7171239338386576, 0.7171239338386576, 0.5080391579391117, 0.53647348099416, 0.5883072360335003, 0.6105743450230127, 0.6105743450230127, 0.6105743450230127, 0.6105743450230127, 0.6888918425178243, 0.7122663889685762, 0.7122663889685762, 0.7122663889685762, 0.7122663889685762, 0.7122663889685762, 0.7122663889685762, 0.7122663889685762, 0.7122663889685762, 0.7122663889685762, 0.7122663889685762, 0.7122663889685762, 0.5080751620545491, 0.5365658556695593, 0.5900795062478446, 0.6376891412080048, 0.6376891412080048, 0.6376891412080048, 0.6376891412080048, 0.7031982474431702, 0.7256813648814832, 0.7256813648814832, 0.7256813648814832, 0.7256813648814832, 0.7256813648814832, 0.7256813648814832, 0.7256813648814832, 0.7256813648814832, 0.7256813648814832, 0.7256813648814832, 0.7256813648814832, 0.5089102886811621, 0.5386670453928525, 0.5937226970000823, 0.6483697558528767, 0.6483697558528767, 0.6483697558528767, 0.6483697558528767, 0.7092069110454202, 0.7316042894610858, 0.7316042894610858, 0.7316042894610858, 0.7316042894610858, 0.7316042894610858, 0.7316042894610858, 0.7316042894610858, 0.7316042894610858, 0.7316042894610858, 0.7316042894610858, 0.7316042894610858, 0.5086135502338628, 0.5379292417229765, 0.5924891925234973, 0.6451228455482606, 0.6451228455482606, 0.6451228455482606, 0.6451228455482606, 0.7073573383795551, 0.7297622271004942, 0.7297622271004942, 0.7297622271004942, 0.7297622271004942, 0.7297622271004942, 0.7297622271004942, 0.7297622271004942, 0.7297622271004942, 0.7297622271004942, 0.7297622271004942, 0.7297622271004942, 0.5080831051620431, 0.5365862141397204, 0.5901174040814691, 0.6378234625517413, 0.6378234625517413, 0.6378234625517413, 0.6378234625517413, 0.703272474604762, 0.725753460035599, 0.725753460035599, 0.725753460035599, 0.725753460035599, 0.725753460035599, 0.725753460035599, 0.725753460035599, 0.725753460035599, 0.725753460035599, 0.725753460035599, 0.725753460035599, 0.50775040026608, 0.5357268828901273, 0.5883979247289356, 0.6305001513380912, 0.6305001513380912, 0.6305001513380912, 0.6305001513380912, 0.6992746237271592, 0.721907901492731, 0.721907901492731, 0.721907901492731, 0.721907901492731, 0.721907901492731, 0.721907901492731, 0.721907901492731, 0.721907901492731, 0.721907901492731, 0.721907901492731, 0.721907901492731, 0.5084764076895352, 0.537585056870374, 0.5918999937802838, 0.6434663941999821, 0.6434663941999821, 0.6434663941999821, 0.6434663941999821, 0.7064215073496553, 0.7288366330540281, 0.7288366330540281, 0.7288366330540281, 0.7288366330540281, 0.7288366330540281, 0.7288366330540281, 0.7288366330540281, 0.7288366330540281, 0.7288366330540281, 0.7288366330540281, 0.7288366330540281, 0.5082268492486873, 0.5369533438501556, 0.590788168489675, 0.6400851236570012, 0.6400851236570012, 0.6400851236570012, 0.6400851236570012, 0.7045273780906057, 0.7269763449675477, 0.7269763449675477, 0.7269763449675477, 0.7269763449675477, 0.7269763449675477, 0.7269763449675477, 0.7269763449675477, 0.7269763449675477, 0.7269763449675477, 0.7269763449675477, 0.7269763449675477, 0.5087697568286901, 0.5383187894145482, 0.5931449756030696, 0.6468819567398013, 0.6468819567398013, 0.6468819567398013, 0.6468819567398013, 0.7083568961249201, 0.7307556204513623, 0.7307556204513623, 0.7307556204513623, 0.7307556204513623, 0.7307556204513623, 0.7307556204513623, 0.7307556204513623, 0.7307556204513623, 0.7307556204513623, 0.7307556204513623, 0.7307556204513623]	e_H=[0, 0.008197796374712074, 0.0077213476613834375, 0.007940831788536884, 0.007300053782770544, 0.007594557492583309, 0.008061102857773172, 0.008320504472263957, 0.007587543353476001, 0.0075557396516702235, 0.007209147267568938, 0.007363737223386124, 0.007508615440289135, 0.00724352887928803, 0.008373065901813193, 0.008238147727251621, 0.007967994134782885, 0.007235745646770209, 0.007967994134782885, 0.008625005512628348, 0.008797681802527713, 0.008480605749438652, 0.008080186719471305, 0.009098683133873187, 0.008568870403129702, 0.0074128974072681375, 0.007320506109167346, 0.00833095078335555, 0.008080186719471305, 0.030157475709218895, 0.05835797028042633, 0.0846819518098515, 0.09168048755059255, 0.05149579840629759, 0.05149579840629759, 0.05149579840629759, 0.05149579840629759, 0.05149579840629759, 0.05149579840629759, 0.05149579840629759, 0, 0, 0, 0.029348393225114067, 0.054597855372427784, 0.07938560508137937, 0.06212494834029225, 0.06212494834029225, 0.06212494834029225, 0.06212494834029225, 0.05800711639807632, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.029774365687352256, 0.05507480802143061, 0.07911953971214447, 0.060784549037736, 0.060784549037736, 0.060784549037736, 0.060784549037736, 0.05727419543479739, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02801341540024671, 0.052744799989633995, 0.08076300145406667, 0.06844810409008528, 0.06844810409008528, 0.06844810409008528, 0.06844810409008528, 0.06130342788490961, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.028179576641857884, 0.0530407750470715, 0.08048113111028377, 0.06723242439308341, 0.06723242439308341, 0.06723242439308341, 0.06723242439308341, 0.06068912320960995, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.03017231159947542, 0.055496754963469286, 0.0789000378222614, 0.059647838966451316, 0.059647838966451316, 0.059647838966451316, 0.059647838966451316, 0.05664247330525796, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.03103809160197024, 0.05635484036226246, 0.07848822880142714, 0.05744022550444461, 0.05744022550444461, 0.05744022550444461, 0.05744022550444461, 0.055387632538965836, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.029348393225114067, 0.054597855372427784, 0.07938560508137937, 0.06212494834029225, 0.06212494834029225, 0.06212494834029225, 0.06212494834029225, 0.05800711639807632, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.030025367075922182, 0.05534328162605495, 0.0789783632682417, 0.0600566686508337, 0.0600566686508337, 0.0600566686508337, 0.0600566686508337, 0.056870776478294194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.030549572357691623, 0.05587969235078649, 0.07871123275855951, 0.058647736478208756, 0.058647736478208756, 0.058647736478208756, 0.058647736478208756, 0.05607867452474291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.030265352083077346, 0.05559262559188405, 0.07885191634122557, 0.059394896205069325, 0.059394896205069325, 0.059394896205069325, 0.059394896205069325, 0.05650059612440228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.029155552310014987, 0.05437124559931561, 0.07952018447247566, 0.0627874851064748, 0.0627874851064748, 0.0627874851064748, 0.0627874851064748, 0.05836473593867264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.027859995664105575, 0.05239637462577551, 0.08116201441876536, 0.0701076911820061, 0.0701076911820061, 0.0701076911820061, 0.0701076911820061, 0.06212815075585798, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.029155552310014987, 0.05437124559931561, 0.07952018447247566, 0.0627874851064748, 0.0627874851064748, 0.0627874851064748, 0.0627874851064748, 0.05836473593867264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.029617520558213095, 0.05490257578604674, 0.07921318868040883, 0.06126100105478205, 0.06126100105478205, 0.06126100105478205, 0.06126100105478205, 0.057536180256099634, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0298452398242931, 0.05515146987109465, 0.07907865556935245, 0.06057494953635567, 0.06057494953635567, 0.06057494953635567, 0.06057494953635567, 0.05715842445393371, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02787412328776684, 0.05243532407415552, 0.08111234147343493, 0.06990483328688768, 0.06990483328688768, 0.06990483328688768, 0.06990483328688768, 0.06202818223429751, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.028350565807414685, 0.05180926722855628, 0.08327407711219181, 0.07790902728471127, 0.07790902728471127, 0.07790902728471127, 0.07790902728471127, 0.06580852209558263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.028091302191895262, 0.05177026527995532, 0.08283082969234423, 0.07638948098076548, 0.07638948098076548, 0.07638948098076548, 0.07638948098076548, 0.0651154354320782, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02781165495416038, 0.0519320276494496, 0.08197206350141495, 0.0732782262940449, 0.0732782262940449, 0.0732782262940449, 0.0732782262940449, 0.06366139895051892, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02843432305504834, 0.05183375503934029, 0.08339594354332358, 0.07831749749481165, 0.07831749749481165, 0.07831749749481165, 0.07831749749481165, 0.06599299661866742, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02849069361501022, 0.05351365057828528, 0.08009601551699941, 0.06550910623516537, 0.06550910623516537, 0.06550910623516537, 0.06550910623516537, 0.05980293497348299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.029756756711690424, 0.055055651607229805, 0.07912983081589475, 0.06083715519254351, 0.06083715519254351, 0.06083715519254351, 0.06083715519254351, 0.057303202093473615, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.029315691489113727, 0.054559950800520784, 0.07940771291859494, 0.06223449283129445, 0.06223449283129445, 0.06223449283129445, 0.06223449283129445, 0.05806645490672213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02850310897767727, 0.05353118994174866, 0.08008288238904326, 0.06544901205302078, 0.06544901205302078, 0.06544901205302078, 0.06544901205302078, 0.05977169849961028, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.027976482624047283, 0.05267104183880833, 0.08084015643252807, 0.06877447238906798, 0.06877447238906798, 0.06877447238906798, 0.06877447238906798, 0.061466864853043535, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.029108649180838775, 0.05431493690990985, 0.07955456832128738, 0.06295511314967317, 0.06295511314967317, 0.06295511314967317, 0.06295511314967317, 0.058454739474840145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.028726494601468255, 0.053834824639519385, 0.07986573624029603, 0.06444225443360452, 0.06444225443360452, 0.06444225443360452, 0.06444225443360452, 0.059244959972353906, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02954903258585817, 0.05482618618852131, 0.07925556726221361, 0.06147493938511883, 0.06147493938511883, 0.06147493938511883, 0.06147493938511883, 0.0576532889779503, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
05.07.2020 - 15:09:34 | Размер окна: 20
05.07.2020 - 15:09:34 | Минимальная допустимая ошибка e: 1e-07
05.07.2020 - 15:09:38 | 	
05.07.2020 - 15:09:38 | Входной файл: data/merged-2017-11-27-10-02_ncps.csv
